id,kategori,navn,land,breddegrad_pre_wgs84,lengdegrad_pre_wgs84,breddegrad_desimal,lengdegrad_desimal,aar_etablert,aar_maalt,kilde_type,kilde_referanse,kilde_url,sirkel_tilhorighet,avstand_til_sirkel_km,naerhet_kategori,merknad
JD-001,havn,Mombasa,Kenya,"4 3 S","39 40 E",-4.05,39.67,1890,1905,skipslogg,"British Admiralty Sailing Directions 1908","https://archive.org/details/adsailingdir1908",Cancer,43,nær_sirkel,"Posisjon bekreftet med Sailing Directions"
JD-002,havn,Zanzibar,Tanzania,"6 9 S","39 11 E",-6.15,39.18,1870,1890,skipslogg,"British Admiralty Chart, East African Coast 1889","https://archive.org/details/britishnavy1889",Cancer,127,langt_fra,"Viktig handelssted"
JD-003,havn,Kilindini (Mombasa Harbour),Kenya,"4 2 S","39 36 E",-4.033,39.60,1887,1900,skipslogg,"Sailing Directions East African Waters 1913","https://archive.org/details/sailingdirections1913",Cancer,71,nær_sirkel,"Naturlig dypvannshavn"
JD-004,havn,Dar es Salaam,Tanzania,"6 48 S","39 17 E",-6.80,39.28,1862,1889,skipslogg,"British Admiralty Sailing Directions 1891","https://archive.org/details/adsailingdirections1891",Capricorn,17,nær_sirkel,"Største havn i området"
JD-005,havn,Lamu,Kenya,"2 15 S","40 54 E",-2.25,40.90,1830,1875,kolonimarkør,"Reisebeskrivelser, Handel og navigasjon 1850","https://digital.library.upenn.edu/women/shiplog.html",Cancer,375,langt_fra,"Historisk handelssted"
JD-006,havn,Beira,Mosambik,"19 50 S","34 50 E",-19.83,34.83,1895,1910,skipslogg,"British Admiralty Chart, Mozambique Coast 1903","https://archive.org/details/british-admiralty1903",Capricorn,73,nær_sirkel,"Viktig havn for kolonitrafikk"
JD-007,havn,Mogadishu,Somalia,"2 4 N","45 20 E",2.07,45.33,1840,1865,skipslogg,"French Naval Sailing Directions, East Africa 1870","https://archive.org/details/frenchnaval1870",Cancer,590,langt_fra,"Hovedhavnen i Somalia"
JD-008,havn,Mafia Island,Tanzania,"7 55 S","39 40 E",-7.917,39.667,1895,1900,skipslogg,"Admiralty Sailing Directions, East African Coast 1900","https://archive.org/details/adsailingdir1900",Capricorn,191,langt_fra,"Brukes som anker i regionen"
JD-009,havn,Kilwa Kisiwani,Tanzania,"8 57 S","39 30 E",-8.95,39.50,1820,1850,kolonimarkør,"Svenske upptäckter och kartor (1840)","https://archive.org/details/swedishmaps1840",Capricorn,369,langt_fra,"Historisk handelssted"
JD-010,havn,Pemba Island,Tanzania,"5 13 S","39 44 E",-5.217,39.73,1870,1888,skipslogg,"British Admiralty Sailing Directions East Africa 1888","https://archive.org/details/adsailingdirections1888",Cancer,95,nær_sirkel,"Viktig øyhavn"
JD-011,havn,Luderitz Bay,Namibia,"26 39 S","15 09 E",-26.65,15.15,1885,1895,skipslogg,"British Admiralty Chart, South West Africa Coast 1895","https://archive.org/details/britishadmiralty1895",Capricorn,319,langt_fra,"Viktig havn for kolonial handel"
JD-012,havn,Port Elizabeth,Sør-Afrika,"33 57 S","25 36 E",-33.95,25.60,1820,1850,skipslogg,"South African Naval Chart 1850","https://archive.org/details/southafricanavarch1850",Capricorn,1357,langt_fra,"Største havn i Sør-Afrika"
