havn,antall_obs,aar_spenn,logg_lat,logg_lon,moderne_lon,dlon
PORT EGMONT,86,1767-1786,-51.678372093023256,-57.97755813953488,-60.1,2.1224418604651234
TALCAGUANA,23,1786-1786,-36.74956521739131,-73.17478260869565,-73.11,-0.06478260869565133
SIMONSBAAY,4,1839-1850,-34.99,18.4375,18.43,0.007500000000000284
MONTEVIDEO,92,1768-1850,-34.89478260869566,-56.201195652173915,-56.16,-0.04119565217391852
BUENOS AIRES,8,1794-1845,-34.63,-58.33,-58.38,0.05000000000000426
SIMONSBAAI,3,1790-1847,-34.51,18.686666666666667,18.43,0.2566666666666677
KAAP DE GOEDE HOOP,9,1677-1850,-34.278888888888886,18.247777777777777,18.47,-0.22222222222222143
TAFELBAAI,12,1786-1852,-34.23833333333334,18.199166666666667,18.43,-0.230833333333333
CABO DE GOEDE HOOP,4,1771-1802,-34.205,18.2325,18.47,-0.23749999999999716
VALPARAISO,6,1824-1827,-33.08,-71.67,-71.62,-0.04999999999999716
"FORT DAUPHIN BAY, MADAGASCAR",17,1751-1751,-25.03,47.0,46.99,0.00999999999999801
RIO DE JANEIRO,32,1765-1852,-23.0428125,-43.068124999999995,-43.17,0.10187500000000682
"PORT LOUIS, MAURITIUS",3,1819-1819,-20.156666666666666,57.48,57.5,-0.020000000000003126
PORT LOUIS,10,1746-1848,-20.141000000000002,57.497,57.5,-0.0030000000000001137
ST MARY'S BAY MADAGASCAR,72,1751-1751,-16.98,49.85,49.92,-0.07000000000000028
ST MARY'S ROAD MADAGASCAR,13,1751-1751,-16.98,49.85000000000001,49.92,-0.06999999999999318
ST HELENA,47,1753-1854,-16.673191489361702,-2.8314893617021277,-5.72,2.888510638297872
JAMES TOWN,5,1830-1849,-16.262,-5.398000000000001,-5.72,0.3219999999999992
BAHIA,11,1833-1833,-12.96,-38.51,-38.51,0.0
ASCENSION,9,1752-1850,-8.047777777777778,-14.11,-14.36,0.25
DIEGO GARCIA,65,1819-1819,-7.23,72.4,72.41,-0.009999999999990905
BATAVIA,434,1663-1854,-6.099884792626728,106.85997695852535,106.81,0.04997695852534889
MAKASSER,52,1816-1816,-5.14,119.4,119.41,-0.009999999999990905
PARAMARIBO,130,1757-1853,5.867307692307692,-55.05838461538462,-55.17,0.11161538461538356
GALLE,90,1785-1786,6.000777777777778,80.188,80.22,-0.031999999999996476
CAVITÉ,44,1787-1787,14.5,120.92000000000002,120.91,0.010000000000019327
MACAO,38,1787-1851,22.17105263157895,113.6263157894737,113.55,0.07631578947369633
NEW YORK,34,1787-1853,40.6514705882353,-73.30029411764706,-74.01,0.7097058823529494
LA CORUÑA,145,1765-1797,43.36062068965517,-8.481862068965517,-8.4,-0.08186206896551695
HELLEVOETSLUIS,96,1760-1855,51.783125000000005,3.9667708333333334,4.13,-0.16322916666666654
