datetime,latitude,longitude
1806-05-08T17:00,25.97,-74.60
1806-05-09T17:00,26.60,-74.47
1806-05-10T17:00,26.97,-74.27
1806-05-11T17:00,27.30,-74.32
1806-05-12T17:00,28.65,-74.32
1806-05-13T17:00,30.07,-74.43
1806-05-14T17:00,32.00,-73.28
1806-05-15T17:00,32.22,-72.82
1806-05-16T17:00,32.77,-72.75
1806-05-17T17:00,33.12,-74.20
1806-05-18T17:00,33.50,-73.05
1806-05-19T17:00,33.88,-72.52
1806-05-20T17:00,34.57,-71.42
1806-05-21T17:00,35.70,-70.03
1806-05-22T17:00,36.45,-70.20
1806-05-23T17:00,37.73,-70.68
1806-05-24T17:00,38.08,-70.68
1806-05-25T17:00,37.85,-70.08
1806-05-26T17:00,37.62,-69.05
1806-05-27T16:00,37.10,-67.20
1806-05-28T16:00,36.68,-66.43
1806-05-29T16:00,37.78,-64.36
1806-05-30T16:00,38.88,-62.28
1806-05-31T16:00,39.58,-60.47
1806-06-01T16:00,40.98,-57.29
1806-06-02T16:00,42.30,-54.12
1806-06-03T15:00,43.25,-52.08
1806-06-04T15:00,43.65,-50.32
1806-06-05T15:00,44.25,-47.15
1806-06-06T15:00,44.97,-44.02
1806-06-07T15:00,45.88,-39.82
1806-06-08T14:00,46.40,-36.80
1806-06-09T14:00,47.05,-33.60
1806-06-10T14:00,47.78,-31.85
1806-06-11T14:00,48.72,-31.22
1806-06-12T14:00,49.62,-28.07
1806-06-13T14:00,49.78,-25.63
1806-06-14T14:00,50.30,-23.37
1806-06-15T13:00,50.30,-19.07
1806-06-16T13:00,50.48,-17.20
1806-06-17T13:00,50.30,-15.25
1806-06-18T13:00,49.40,-13.08
1806-06-19T13:00,48.18,-11.33
1806-06-20T13:00,48.83,-11.22
1806-06-21T13:00,49.40,-11.02
1806-06-22T13:00,49.22,-9.30
1806-06-23T12:00,49.07,-6.83
1806-06-24T12:00,49.10,-5.08
1806-06-25T12:00,49.33,-4.65
