row,punkt,lat_decimal,lon_decimal,raw_lat,raw_lon
2,CAP_Abtofagasta,-23.659772,-70.398356,"23°39'35.18""S","70°23'54.08""W"
3,Punta_Arenas,-53.150522,-70.902983,"53° 9'1.88""S","70°54'10.74""W"
4,Puerto Harris,-53.840064,-70.443781," 53°50'24.23""S"," 70°26'37.61""W"
5,Beihai Port,20.279381,110.000011," 20°16'45.77""N","110° 0'0.04""E"
6,Hainan,19.930094,110.0," 19°55'48.34""N","110° 0'0.00""E"
7,Xincun Habor Yanjincun,18.434033,110.000167," 18°26'2.52""N","110° 0'0.60""E"
9,"Indonesia Khatulistiwa Park, Jl. Khatulistiwa, Batu Layang, Pontianak Utara, Pontianak, West Kalimantan 78244, ",0.001056,109.322231,"  0° 0'3.80""N","109°19'20.03""E"
11,"CAP_Tropic of capricorn spire, Gladstone Rd, Allenstown QLD 4700, Australia",-23.399808,150.5051,"23°23'59.31""S","150°30'18.36""E"
12,Urup Kuril islands-Russia,46.201775,150.504653,"46°12'6.39""N","150°30'16.75""E"
13,"Magadan Oblast, Russia",59.548294,150.789775," 59°32'53.86""N","150°47'23.19""E"
14,Sinegor'e Magadan Oblast Russia 686222,62.078631,150.505525," 62° 4'43.07""N","150°30'19.89""E"
15,Tumannyi,62.680967,150.505144," 62°40'51.48""N","150°30'18.52""E"
16,Usun Kiuell,66.344061,150.505256," 66°20'38.62""","150°30'18.92""E"
21,Tubuai French Polynesia,-23.375767,-149.468297," 23°22'32.76""S","149°28'5.87""W"
22,Michou French Polynesia,-17.506822,-149.468258," 17°30'24.56""S","149°28'5.73""W"
23,United States Seward,60.120903,-149.468483," 60° 7'15.25""N","149°28'6.54""W"
24,"United States Bird Ceeek Vally Kongiganak Anchorage, AK 99540",60.973311,-149.468261," 60°58'23.92""N","149°28'5.74""W"
25,"United States Three Bears Alaska - Grocery store 22211 Birchwood Loop Rd Chugiak, AK 99567",61.403947,-149.468261," 61°24'14.21""N","149°28'5.74""W"
26,Toolik Lake Field Station Polar sirkelen,68.627583,-149.594272," 68°37'39.30""N","149°35'39.38""W"
27,United States Alaska Kuparuk Rd,70.326156,-149.595953," 70°19'34.16""N","149°35'45.43""W"
28,PS_Hestmona Storselsøy Daumannstranda - Beach 8197,66.550022,12.847144," 66°33'0.08""N"," 12°50'49.72""E"
29,PS_Raudskjærholmen Holmen kirkegård - Cemetery 8770,66.543286,12.165747," 66°32'35.83""N"," 12° 9'56.69""E"
30,PS_Grimsey Island Polarsirkelen,66.550017,-17.999983," 66°33'0.06""N"," 17°59'59.94""W"
31,PS_Greenland Itilleq Arsaattarfik - Soccer field HGG3+R4,66.576947,-53.498408," 66°34'37.01""N"," 53°29'54.27""W"
32,PS_Nedlung,66.543164,-71.328389," 66°32'35.39""N"," 71°19'42.20""W"
